NCTC10332	P. aeruginosa
NCTC10335	B. firmus
NCTC10337	B. pumilus
NCTC10338	B. sphaericus
NCTC10341	B. licheniformis
NCTC10342	B. megaterium
NCTC10343	P. polymyxa
NCTC10344	S. aureus
NCTC10345	S. aureus
NCTC10350	S. hyicus
NCTC10353	S. thermophilus
NCTC10354	C. fetus
NCTC10357	L. monocytogenes
NCTC10359	m. liquefaciens
NCTC10360	P. shigelloides
NCTC10361	E. coli
NCTC10363	P. shigelloides
NCTC10364	P. shigelloides
NCTC10367	P. alcaligenes
NCTC10376	P. vulgaris
NCTC10381	S. enterica
NCTC10382	P. multocida
NCTC10386	S. equinus
NCTC10388	A. odorans
NCTC10389	S. equinus
NCTC10392	P. fluorescens
NCTC10396	E. tarda
NCTC10397	E. tarda
NCTC10399	S. aureus
NCTC10400	B. subtilis
NCTC10401	S. enterica
NCTC10402	A. salmonicida
NCTC10409	M. thermoresistibile
NCTC10426	C. hominis
NCTC10430	E. coli
NCTC10436	S. enterica
NCTC10437	M. aurum
NCTC10442	S. aureus
NCTC10443	S. aureus
NCTC10444	E. coli
NCTC10446	S. suis
NCTC10449	S. mutans
NCTC10450	P. stutzeri
NCTC10452	B. licheniformis
NCTC10459	G. haemolysans
NCTC10460	Y. enterocolitica
NCTC10465	M. osloensis
NCTC10471	B. breve
NCTC10473	P. stutzeri
NCTC10475	P. stutzeri
NCTC10476	Y. ruckeri
NCTC10480	S. enterica
NCTC10483	K. cryocrescens
NCTC10485	M. chitae
NCTC10487	E. coli
NCTC10488	N. dassonvillei
NCTC10498	S. maltophilia
NCTC10500	P. agglomerans
NCTC10512	B. ovis
NCTC10516	S. saprophyticus
NCTC10517	S. xylosus
NCTC10518	S. warneri
NCTC10519	S. epidermidis
NCTC10520	B. parapertussis
NCTC10522	B. parapertussis
NCTC10524	B. parapertussis
NCTC10526	P. phenylpyruvicus
NCTC10529	K. kingae
NCTC10530	S. chromogenes
NCTC10532	S. enterica
NCTC10535	P. bettyae
NCTC10537	E. coli
NCTC10538	E. coli
NCTC10542	B. bronchiseptica
NCTC10543	B. bronchiseptica
NCTC10551	Y. pseudotuberculosis
NCTC10560	F. varium
NCTC10562	F. nucleatum
NCTC10568	A. lignieresii
NCTC10570	M. hypermegale
